Hyprctl namespace logging started at Wed Mar  5 11:27:34 PM PST 2025
Wed Mar  5 11:27:34 PM PST 2025 - swww-daemon
Wed Mar  5 11:27:34 PM PST 2025 - bar
Wed Mar  5 11:27:34 PM PST 2025 - notifications-popup
Wed Mar  5 11:27:35 PM PST 2025 - swww-daemon
Wed Mar  5 11:27:35 PM PST 2025 - bar
Wed Mar  5 11:27:35 PM PST 2025 - notifications-popup
Wed Mar  5 11:27:36 PM PST 2025 - swww-daemon
Wed Mar  5 11:27:36 PM PST 2025 - bar
Wed Mar  5 11:27:36 PM PST 2025 - notifications-popup
Wed Mar  5 11:27:36 PM PST 2025 - transparent-scrim
Wed Mar  5 11:27:36 PM PST 2025 - Notifications
Wed Mar  5 11:27:37 PM PST 2025 - swww-daemon
Wed Mar  5 11:27:37 PM PST 2025 - bar
Wed Mar  5 11:27:37 PM PST 2025 - notifications-popup
Wed Mar  5 11:27:37 PM PST 2025 - transparent-scrim
Wed Mar  5 11:27:37 PM PST 2025 - Notifications
Wed Mar  5 11:27:38 PM PST 2025 - swww-daemon
Wed Mar  5 11:27:38 PM PST 2025 - bar
Wed Mar  5 11:27:38 PM PST 2025 - notifications-popup
Wed Mar  5 11:27:38 PM PST 2025 - transparent-scrim
Wed Mar  5 11:27:38 PM PST 2025 - Notifications
Wed Mar  5 11:27:39 PM PST 2025 - swww-daemon
Wed Mar  5 11:27:39 PM PST 2025 - bar
Wed Mar  5 11:27:39 PM PST 2025 - notifications-popup
Wed Mar  5 11:27:39 PM PST 2025 - transparent-scrim
Wed Mar  5 11:27:39 PM PST 2025 - Notifications
Wed Mar  5 11:27:40 PM PST 2025 - swww-daemon
Wed Mar  5 11:27:40 PM PST 2025 - bar
Wed Mar  5 11:27:40 PM PST 2025 - notifications-popup
Wed Mar  5 11:27:40 PM PST 2025 - Notifications
